species_name	bin_uri
Cyathopoma iota	BOLD:AAE2914
Cyathopoma micron	BOLD:AAD6290
Cyclophorus formosensis	BOLD:AAC6300
Cyclotus taivanus	BOLD:ACH6836
Radix relicta	BOLD:AAD0427
Concholepas concholepas	BOLD:AAA1261
Concholepas concholepas	BOLD:AAA1261
Rapana venosa	BOLD:AAA6876
Conus venulatus	BOLD:ADS5045
Conus venulatus	BOLD:ADS5045
Goniobasis catenaria	BOLD:AAC3866
Goniobasis proxima	BOLD:AAC0034
Juga draytoni	BOLD:AAE5666
Juga occata	BOLD:AAB8743
Conus ebraeus	BOLD:AAA4120
Conus sponsalis	BOLD:ADD9928
Thyca crystallina	BOLD:AAA3995
Thyca crystallina	BOLD:AAA3995
Thyca crystallina	BOLD:AAA3995
Thyca crystallina	BOLD:AAA3995
Idas sp. C JL-2008	BOLD:AAB7065
Turris babylonia	BOLD:AAW8734
Nannodiella sp. NP	BOLD:AAC1791
Leiocithara sp. NP	BOLD:AAX0067
Conus consors	BOLD:AAI9375
Alloteuthis media	BOLD:AAB2767
Mytilus sp. MAUF1	BOLD:AAA4735
Mytilus sp. CHLF4	BOLD:AAA2184
Mytilus sp. CHLF3	BOLD:AAA2184
Amphinaias refulgens	BOLD:AAI0636
Cristaria plicata	BOLD:AAA6270
Acesta mori	BOLD:AAA7173
Acesta mori	BOLD:AAA7173
Clementia papyracea	BOLD:AAR9511
Dreissena polymorpha	BOLD:AAA5298
Lepetodrilus sp. 2 SBJ-2008	BOLD:AAD6145
Lepetodrilus aff. pustulosus SBJ-2008	BOLD:AAA9678
Lepetodrilus elevatus	BOLD:AAC1382
Lepetodrilus elevatus	BOLD:AAC1382
Lepetodrilus tevnianus	BOLD:AAC2111
Nerita undata	BOLD:ABZ3589
Nerita senegalensis	BOLD:AAH3356
Nerita helicinoides	BOLD:AAH0947
Nerita erythrostoma	BOLD:AAG1576
Bulla occidentalis	BOLD:AAB5003
Bulla orientalis	BOLD:AAI8377
Bulla ampulla	BOLD:AAB9523
Bulla sp. BMNH 20060102	BOLD:AAW7210
Bulinus globosus	BOLD:ADR4270
Bulinus barthi	BOLD:AAF5384
Runcina africana	BOLD:AAI0999
Trochulus villosus	BOLD:AAA2440
Trochulus villosus	BOLD:AAA2440
Trochulus villosus	BOLD:AAA2440
Trochulus villosus	BOLD:AAA2440
Trochulus villosus	BOLD:AAA2440
Trochulus villosus	BOLD:AAA2440
Margarites helicinus	BOLD:AAK7703
Iberus ortizi	BOLD:AAC9631
Euspira nitida	BOLD:AAX5986
Terebralia sulcata	BOLD:AAE4101
Terebralia palustris	BOLD:AAF2150
Conus ebraeus	BOLD:AAA4120
Conus ebraeus	BOLD:AAA4120
Bythinella sp. 2049	BOLD:AAA4467
Bythinella schmidtii	BOLD:AAB8635
Bythinella schmidtii	BOLD:AAB8635
Bythinella compressa	BOLD:AAB6639
Bythinella austriaca	BOLD:AAA4467
Bythinella austriaca	BOLD:AAA4467
Bythinella austriaca	BOLD:AAA4467
Bythinella austriaca	BOLD:AAA4467
Bythinella austriaca	BOLD:AAA4467
Littorina littorea	BOLD:AAA1269
Littorina littorea	BOLD:AAA1269
Littorina littorea	BOLD:AAA1269
Littorina littorea	BOLD:AAA1269
